Loading config...
Memory hierarchy built.
{'mem': <cache.Cache object at 0x7eff1b6407f0>, 'cache_2': <cache.Cache object at 0x7eff1b640f70>, 'cache_1': <cache.Cache object at 0x7eff1b642230>}
Loading tracefile...
Loaded tracefile /home/ajay/Documents/CSE_530/Assignments/assignment_1/question/content/CachePerformanceOnMatMul/traces/mat_scatter_traces.out
Begin simulation!
0:	Reading 0x7ffc05b6b2a8
	hit_list: {'cache_1': True}	time: 1

156:	Writing 0x7ffc05b6b138
	Writing back block 0x7ffc05b6b138 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

157:	Writing 0x7ffc05b6b130
	hit_list: {'cache_1': True}	time: 1

158:	Writing 0x7ffc05b6b128
	hit_list: {'cache_1': False}	time: 1

159:	Writing 0x7ffc05b6b120
	hit_list: {'cache_1': True}	time: 1

160:	Writing 0x7ffc05b6b118
	Writing back block 0x7ffc05b6b118 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

161:	Reading 0x7f2714882500
	Writing back block 0x7f2714882500 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

162:	Reading 0x7f271487bd98
	Writing back block 0x7f271487bd98 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

163:	Writing 0x7ffc05b6b0a4
	hit_list: {'cache_1': False}	time: 1

164:	Writing 0x7ffc05b6b100
	hit_list: {'cache_1': False}	time: 1

165:	Writing 0x7ffc05b6b0d0
	hit_list: {'cache_1': False}	time: 1

166:	Writing 0x7ffc05b6b0e0
	Writing back block 0x7ffc05b6b0e0 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

167:	Writing 0x7ffc05b6b104
	hit_list: {'cache_1': True}	time: 1

168:	Writing 0x7ffc05b6b0dc
	hit_list: {'cache_1': True}	time: 1

169:	Writing 0x7ffc05b6b0fc
	hit_list: {'cache_1': False}	time: 1

170:	Writing 0x7ffc05b6b0f8
	hit_list: {'cache_1': True}	time: 1

171:	Writing 0x7ffc05b6b0f0
	hit_list: {'cache_1': True}	time: 1

172:	Writing 0x7ffc05b6b0e8
	hit_list: {'cache_1': True}	time: 1

173:	Reading 0x7f271487ada8
	Writing back block 0x7f271487ada8 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 33

174:	Writing 0x7ffc05b6b088
	hit_list: {'cache_1': False}	time: 1

175:	Reading 0x7f2714564358
	hit_list: {'cache_1': False, 'cache_2': True}	time: 17

176:	Reading 0x7f271487b3c8
	hit_list: {'cache_1': True}	time: 1

177:	Writing 0x7ffc05b6b088
	hit_list: {'cache_1': True}	time: 1

178:	Writing 0x7ffc05b6b080
	hit_list: {'cache_1': True}	time: 1

179:	Writing 0x7ffc05b6b0d8
	hit_list: {'cache_1': True}	time: 1

180:	Writing 0x7ffc05b6b0a8
	hit_list: {'cache_1': True}	time: 1

181:	Reading 0x7f271487bcf8
	Writing back block 0x7f271487bcf8 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

182:	Reading 0x7f271487b3e0
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1017

183:	Reading 0x7f271487b3d8
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1017

184:	Writing 0x7ffc05b6b0b0
	Writing back block 0x7ffc05b6b0b0 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

185:	Reading 0x7f2714564358
	Writing back block 0x7f2714564358 to cache_2
	Writing back block 0x7ffc05b6b0d0 to mem
	hit_list: {'cache_1': False, 'cache_2': True}	time: 1033

186:	Writing 0x7ffc05b6b090
	Writing back block 0x7ffc05b6b090 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

187:	Reading 0x7f27148824d8
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1017

188:	Writing 0x7ffc05b6b0b8
	hit_list: {'cache_1': True}	time: 1

189:	Writing 0x7ffc05b6b0c8
	hit_list: {'cache_1': False}	time: 1

190:	Writing 0x7ffc05b6b0c0
	hit_list: {'cache_1': True}	time: 1

191:	Reading 0x56436836fb68
	Writing back block 0x56436836fb68 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

192:	Reading 0x7f271487c508
	Writing back block 0x7f271487c508 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

